scaffold,start,end,length,method,type,type_start,type_end,overlap,overlap/length
ptg000719l,1613186,1613460,274,RepeatMasker,DNA,1613460,1613528,1,0.00
ptg000720l,751892,752194,302,RepeatMasker,DNA,751481,752333,302,1.00
ptg000722l,937003,937328,325,RepeatMasker,DNA,937187,937541,142,0.44
ptg000739l,7428288,7428627,339,RepeatMasker,DNA,7428444,7428657,184,0.54
ptg000776l,2616894,2617186,292,RepeatMasker,DNA,2616959,2617098,140,0.48
ptg000794l,484200,484488,288,RepeatMasker,DNA,484355,484559,134,0.47
ptg000797l,1301119,1301401,282,RepeatMasker,DNA,1301186,1301537,216,0.77
ptg000802l,5637472,5637762,290,RepeatMasker,DNA,5637703,5637758,56,0.19
ptg000806l,4722537,4722862,325,RepeatMasker,DNA,4722616,4722673,58,0.18
ptg000808l,3047654,3047948,294,RepeatMasker,DNA,3047602,3047777,123,0.42
ptg000808l,3047654,3047948,294,RepeatMasker,DNA,3047629,3047823,169,0.57
ptg000818l,2705482,2705786,304,RepeatMasker,DNA,2705753,2705932,34,0.11
ptg000837l,3691394,3691695,301,RepeatMasker,DNA,3691662,3691892,34,0.11
ptg000844l,7802516,7802802,286,RepeatMasker,DNA,7802769,7802832,34,0.12
ptg000874l,1525601,1525917,316,RepeatMasker,DNA,1525816,1525997,102,0.32
ptg000886l,5284406,5284704,298,RepeatMasker,DNA,5283751,5284546,140,0.47
ptg000900l,179682,179967,285,RepeatMasker,DNA,179907,179958,52,0.18
ptg000903l,479461,479783,322,RepeatMasker,DNA,479002,480740,322,1.00
ptg000915l,539859,540187,328,RepeatMasker,DNA,539828,540823,328,1.00
ptg000918l,549023,549337,314,RepeatMasker,DNA,549178,549463,160,0.51
ptg000929l,814013,814343,330,RepeatMasker,DNA,813833,814316,303,0.92
ptg000929l,814013,814343,330,RepeatMasker,DNA,813847,814226,213,0.65
ptg000929l,3538514,3538800,286,RepeatMasker,DNA,3538563,3538679,117,0.41
ptg000929l,3538514,3538800,286,RepeatMasker,DNA,3538708,3538850,93,0.33
ptg000934l,696769,697082,313,RepeatMasker,DNA,697060,697106,23,0.07
ptg000962l,625003,625284,281,RepeatMasker,DNA,625124,625328,161,0.57
ptg000986l,548148,548429,281,RepeatMasker,DNA,547909,548454,281,1.00
ptg000993l,96961,97241,280,RepeatMasker,DNA,95704,97015,54,0.19
ptg001001l,3512580,3512866,286,RepeatMasker,DNA,3512833,3513050,34,0.12
ptg001012l,359333,359646,313,RepeatMasker,DNA,359585,359642,58,0.19
ptg001019l,1471709,1471994,285,RepeatMasker,DNA,1471569,1471874,165,0.58
ptg001028l,2168455,2168723,268,RepeatMasker,DNA,2168722,2168778,2,0.01
ptg001029l,237597,237870,273,RepeatMasker,DNA,237618,237758,141,0.52
ptg001044l,2691442,2691722,280,RepeatMasker,DNA,2691442,2691500,58,0.21
ptg001077l,6611571,6611855,284,RepeatMasker,DNA,6611771,6612218,85,0.30
ptg001090l,180873,181141,268,RepeatMasker,DNA,180919,181050,132,0.49
ptg001099l,464886,465166,280,RepeatMasker,DNA,465007,465206,160,0.57
ptg001112l,1390806,1391088,282,RepeatMasker,DNA,1388582,1390899,93,0.33
ptg001135l,274523,274818,295,RepeatMasker,DNA,274251,274815,292,0.99
ptg001135l,274523,274818,295,RepeatMasker,DNA,274326,274889,295,1.00
ptg001140l,1793837,1794166,329,RepeatMasker,DNA,1793929,1794567,238,0.72
ptg001157l,333817,334121,304,RepeatMasker,DNA,334054,334304,68,0.22
ptg001161l,1051593,1051881,288,RepeatMasker,DNA,1051555,1051694,101,0.35
ptg001161l,1051593,1051881,288,RepeatMasker,DNA,1051753,1052546,129,0.45
ptg001182l,581131,581440,309,RepeatMasker,DNA,581280,581492,161,0.52
ptg001194l,1925611,1925935,324,RepeatMasker,DNA,1925762,1925963,174,0.54
ptg001197l,155375,155696,321,RepeatMasker,DNA,155588,155660,73,0.23
ptg001239l,47911,48231,320,RepeatMasker,DNA,46829,51119,320,1.00
ptg001244l,1063776,1064022,246,RepeatMasker,DNA,1063922,1064212,101,0.41
ptg001245l,1517522,1517816,294,RepeatMasker,DNA,1517656,1517861,161,0.55
ptg001273l,1558845,1559155,310,RepeatMasker,DNA,1558140,1559263,310,1.00
ptg001279l,4517455,4517737,282,RepeatMasker,DNA,4515264,4517546,91,0.32
ptg001291l,293720,293996,276,RepeatMasker,DNA,293582,296102,276,1.00
ptg001299l,199724,200048,324,RepeatMasker,DNA,199899,200233,150,0.46
ptg001303l,1311910,1312197,287,RepeatMasker,DNA,1312167,1312347,31,0.11
ptg001305l,1655177,1655478,301,RepeatMasker,DNA,1655299,1655510,180,0.60
ptg001310l,3757597,3757910,313,RepeatMasker,DNA,3757888,3757934,23,0.07
ptg001362l,897344,897624,280,RepeatMasker,DNA,897464,897666,161,0.58
ptg001362l,904503,904783,280,RepeatMasker,DNA,904623,904825,161,0.58
ptg001369l,432566,432892,326,RepeatMasker,DNA,432507,432814,248,0.76
ptg001370l,1550218,1550521,303,RepeatMasker,DNA,1548574,1550323,105,0.35
ptg001370l,1555609,1555912,303,RepeatMasker,DNA,1555551,1555714,105,0.35
ptg001371l,9564137,9564430,293,RepeatMasker,DNA,9563949,9564161,24,0.08
ptg001371l,9564137,9564430,293,RepeatMasker,DNA,9564028,9564190,53,0.18
ptg001379l,890743,891025,282,RepeatMasker,DNA,890785,890867,83,0.29
ptg001388l,448003,448302,299,RepeatMasker,DNA,448269,448487,34,0.11
ptg001389l,92518,92809,291,RepeatMasker,DNA,92289,92620,102,0.35
ptg001398l,2607888,2608189,301,RepeatMasker,DNA,2607818,2608840,301,1.00
ptg001409l,1099277,1099575,298,RepeatMasker,DNA,1099095,1099504,227,0.76
ptg001444l,1356231,1356551,320,RepeatMasker,DNA,1356446,1356630,106,0.33
ptg001444l,3070725,3071041,316,RepeatMasker,DNA,3070769,3070908,140,0.44
ptg001452l,613109,613398,289,RepeatMasker,DNA,612609,613191,82,0.28
ptg001468l,318325,318605,280,RepeatMasker,DNA,318445,318647,161,0.58
ptg001536l,2132145,2132426,281,RepeatMasker,DNA,2132210,2132562,217,0.77
ptg001543l,446043,446344,301,RepeatMasker,DNA,446309,446571,36,0.12
ptg001559l,931737,932059,322,RepeatMasker,DNA,931889,932060,171,0.53
ptg001560l,60841,61159,318,RepeatMasker,DNA,60992,61210,168,0.53
ptg001579l,4357593,4357903,310,RepeatMasker,DNA,4357884,4357927,20,0.06
ptg001583l,1398868,1399148,280,RepeatMasker,DNA,1398989,1399643,160,0.57
ptg001589l,885246,885547,301,RepeatMasker,DNA,884547,886055,301,1.00
ptg001631l,8011833,8012113,280,RepeatMasker,DNA,8011953,8012155,161,0.58
ptg001633l,509434,509749,315,RepeatMasker,DNA,509542,509749,208,0.66
ptg001633l,509434,509749,315,RepeatMasker,DNA,509618,509861,132,0.42
ptg001633l,509434,509749,315,RepeatMasker,DNA,509730,510101,20,0.06
ptg001639l,2541446,2541743,297,RepeatMasker,DNA,2541174,2541740,294,0.99
ptg001639l,2541446,2541743,297,RepeatMasker,DNA,2541249,2541814,297,1.00
ptg001642l,1662402,1662676,274,RepeatMasker,DNA,1662614,1662672,59,0.22
ptg001647l,1893544,1893848,304,RepeatMasker,DNA,1893663,1893960,186,0.61
ptg001664l,367032,367327,295,RepeatMasker,DNA,366760,367307,275,0.93
ptg001669l,2062538,2062847,309,RepeatMasker,DNA,2062467,2063292,309,1.00
ptg001671l,438106,438394,288,RepeatMasker,DNA,438052,438511,288,1.00
ptg001679l,726923,727242,319,RepeatMasker,DNA,726877,727887,319,1.00
ptg001695l,2583577,2583877,300,RepeatMasker,DNA,2583855,2583901,23,0.08
ptg001701l,3274595,3274905,310,RepeatMasker,DNA,3273425,3275187,310,1.00
ptg001722l,322366,322658,292,RepeatMasker,DNA,322052,323292,292,1.00
ptg001738l,912384,912689,305,RepeatMasker,DNA,912493,912719,197,0.65
ptg001742l,1746562,1746863,301,RepeatMasker,DNA,1746780,1746860,81,0.27
ptg001742l,1746562,1746863,301,RepeatMasker,DNA,1746789,1746860,72,0.24
ptg001755l,383442,383753,311,RepeatMasker,DNA,383636,383797,118,0.38
ptg001761l,151055,151337,282,RepeatMasker,DNA,151004,151411,282,1.00
ptg001773l,707774,708066,292,RepeatMasker,DNA,707698,707870,96,0.33
ptg001773l,2427379,2427689,310,RepeatMasker,DNA,2426659,2427487,108,0.35
ptg001786l,4472160,4472488,328,RepeatMasker,DNA,4472120,4473147,328,1.00
ptg001789l,2154752,2155039,287,RepeatMasker,DNA,2154516,2155004,252,0.88
ptg001815l,2511817,2512097,280,RepeatMasker,DNA,2511938,2512139,160,0.57
ptg001821l,4637502,4637792,290,RepeatMasker,DNA,4636604,4637593,91,0.31
ptg001821l,5067390,5067719,329,RepeatMasker,DNA,5067482,5068120,238,0.72
ptg001854l,3076131,3076430,299,RepeatMasker,DNA,3076374,3076460,57,0.19
ptg001880l,205474,205771,297,RepeatMasker,DNA,205626,205839,146,0.49
ptg001902l,1305347,1305660,313,RepeatMasker,DNA,1305638,1305684,23,0.07
ptg001906l,4120185,4120472,287,RepeatMasker,DNA,4120096,4121307,287,1.00
ptg001921l,626653,626918,265,RepeatMasker,DNA,626893,627083,26,0.10
ptg001931l,41974,42289,315,RepeatMasker,DNA,42165,42319,125,0.40
ptg001936l,631322,631649,327,RepeatMasker,DNA,631325,632283,325,0.99
ptg001961l,2667214,2667513,299,RepeatMasker,DNA,2667154,2667507,293,0.98
ptg001993l,755574,755904,330,RepeatMasker,DNA,755535,755583,9,0.03
ptg001993l,755574,755904,330,RepeatMasker,DNA,755568,756383,330,1.00
ptg002022l,4285662,4285981,319,RepeatMasker,DNA,4285786,4285920,135,0.42
ptg002030l,573853,574153,300,RepeatMasker,DNA,573982,574786,172,0.57
ptg002064l,1524460,1524771,311,RepeatMasker,DNA,1523607,1525030,311,1.00
ptg002068l,125197,125528,331,RepeatMasker,DNA,125235,125302,68,0.21
ptg002083l,2455435,2455757,322,RepeatMasker,DNA,2455405,2456415,322,1.00
ptg002087l,1466581,1466892,311,RepeatMasker,DNA,1466809,1467023,84,0.27
ptg002108l,888520,888811,291,RepeatMasker,DNA,888196,888601,81,0.28
ptg002114l,523330,523629,299,RepeatMasker,DNA,523596,523815,34,0.11
ptg002134l,119732,120013,281,RepeatMasker,DNA,119854,120046,160,0.57
ptg002141l,5728204,5728544,340,RepeatMasker,DNA,5727986,5728258,54,0.16
ptg002171l,1226101,1226382,281,RepeatMasker,DNA,1226224,1226426,159,0.57
ptg002191l,1060756,1061062,306,RepeatMasker,DNA,1060757,1060952,196,0.64
ptg002192l,1210387,1210680,293,RepeatMasker,DNA,1210647,1210856,34,0.12
ptg002224l,872694,872963,269,RepeatMasker,DNA,872800,872965,164,0.61
ptg002224l,872694,872963,269,RepeatMasker,DNA,872866,873117,98,0.36
ptg002225l,4583660,4583988,328,RepeatMasker,DNA,4583988,4584156,1,0.00
ptg002229l,542,859,317,RepeatMasker,DNA,837,883,23,0.07
ptg002243l,2060077,2060361,284,RepeatMasker,DNA,2060272,2060571,90,0.32
ptg002257l,2296901,2297211,310,RepeatMasker,DNA,2295701,2297133,232,0.75
ptg002260l,495090,495414,324,RepeatMasker,DNA,495354,495410,57,0.18
ptg002286l,197046,197340,294,RepeatMasker,DNA,197180,197391,161,0.55
ptg002297l,6153769,6154042,273,RepeatMasker,DNA,6154005,6154107,38,0.14
ptg002321l,1037322,1037614,292,RepeatMasker,DNA,1037592,1037636,23,0.08
ptg002353l,62311,62607,296,RepeatMasker,DNA,62505,62711,103,0.35
ptg002373l,1868800,1869090,290,RepeatMasker,DNA,1868173,1868909,109,0.38
ptg002390l,443153,443437,284,RepeatMasker,DNA,443002,443175,22,0.08
ptg002417l,4515063,4515351,288,RepeatMasker,DNA,4514655,4515306,243,0.84
ptg002434l,88890,89161,271,RepeatMasker,DNA,89105,89191,57,0.21
ptg002440l,172234,172524,290,RepeatMasker,DNA,172173,172377,143,0.49
ptg002451l,31563,31884,321,RepeatMasker,DNA,31527,31650,87,0.27
ptg002451l,31563,31884,321,RepeatMasker,DNA,31527,31670,107,0.33
ptg002451l,31563,31884,321,RepeatMasker,DNA,31802,31859,58,0.18
ptg002454l,3354706,3354985,279,RepeatMasker,DNA,3354919,3355167,67,0.24
ptg002472l,1497192,1497474,282,RepeatMasker,DNA,1497257,1497610,218,0.77
ptg002476l,996142,996427,285,RepeatMasker,DNA,993963,996233,91,0.32
ptg002506l,730024,730353,329,RepeatMasker,DNA,730116,730755,238,0.72
ptg002517l,5908834,5909120,286,RepeatMasker,DNA,5909054,5909116,63,0.22
ptg002580l,305829,306133,304,RepeatMasker,DNA,305605,305935,106,0.35
ptg002583l,6946806,6947086,280,RepeatMasker,DNA,6946927,6947144,160,0.57
ptg002598l,885120,885450,330,RepeatMasker,DNA,885379,885574,72,0.22
ptg002632l,519208,519508,300,RepeatMasker,DNA,518936,519473,265,0.88
ptg002632l,519208,519508,300,RepeatMasker,DNA,519011,519579,300,1.00
ptg002646l,599818,600134,316,RepeatMasker,DNA,599026,600940,316,1.00
ptg002646l,600848,601130,282,RepeatMasker,DNA,599026,600940,92,0.33
ptg002656l,1606023,1606335,312,RepeatMasker,DNA,1606314,1606359,22,0.07
ptg002666l,727421,727734,313,RepeatMasker,DNA,727712,727758,23,0.07
ptg002666l,2094961,2095267,306,RepeatMasker,DNA,2094082,2095082,121,0.40
ptg002687l,1415712,1415970,258,RepeatMasker,DNA,1415882,1416294,89,0.34
ptg002695l,1415888,1416205,317,RepeatMasker,DNA,1415800,1417952,317,1.00
ptg002756l,850609,850891,282,RepeatMasker,DNA,850369,851086,282,1.00
ptg002771l,4650854,4651142,288,RepeatMasker,DNA,4650884,4651058,175,0.61
ptg002811l,216574,216887,313,RepeatMasker,DNA,216865,216911,23,0.07
ptg002819l,2046343,2046627,284,RepeatMasker,DNA,2045448,2046434,91,0.32
ptg002819l,2264153,2264465,312,RepeatMasker,DNA,2264443,2264489,23,0.07
ptg002820l,627092,627382,290,RepeatMasker,DNA,627322,627378,57,0.20
ptg002837l,51339,51643,304,RepeatMasker,DNA,51573,51716,71,0.23
ptg002841l,1307009,1307322,313,RepeatMasker,DNA,1307300,1307346,23,0.07
ptg002860l,1164881,1165163,282,RepeatMasker,DNA,1165083,1165378,81,0.29
ptg002862l,5244662,5244956,294,RepeatMasker,DNA,5244441,5244919,257,0.87
ptg002873l,2403305,2403594,289,RepeatMasker,DNA,2403368,2403441,74,0.26
ptg002873l,2403305,2403594,289,RepeatMasker,DNA,2403539,2403634,56,0.19
ptg002879l,3135657,3135950,293,RepeatMasker,DNA,3135916,3135960,35,0.12
ptg002882l,3193097,3193382,285,RepeatMasker,DNA,3192846,3193188,91,0.32
ptg002887l,446814,447121,307,RepeatMasker,DNA,446956,447234,166,0.54
ptg002905l,1020910,1021197,287,RepeatMasker,DNA,1020895,1021088,178,0.62
ptg002932l,6348224,6348540,316,RepeatMasker,DNA,6348518,6348564,23,0.07
ptg002961l,535567,535879,312,RepeatMasker,DNA,534732,535766,199,0.64
ptg002962l,692786,693079,293,RepeatMasker,DNA,692408,692880,94,0.32
ptg002990l,496976,497258,282,RepeatMasker,DNA,494804,497069,93,0.33
ptg002998l,3062687,3062997,310,RepeatMasker,DNA,3062891,3063350,107,0.35
ptg003001l,547701,548019,318,RepeatMasker,DNA,547997,548043,23,0.07
ptg003019l,715328,715621,293,RepeatMasker,DNA,715537,716314,85,0.29
ptg003022l,1399821,1400127,306,RepeatMasker,DNA,1398782,1400045,224,0.73
ptg003028l,906907,907229,322,RepeatMasker,DNA,906925,907224,300,0.93
ptg003061l,2878819,2879099,280,RepeatMasker,DNA,2878573,2878847,28,0.10
ptg003061l,2878819,2879099,280,RepeatMasker,DNA,2878795,2879065,246,0.88
ptg003061l,2878819,2879099,280,RepeatMasker,DNA,2878949,2879055,107,0.38
ptg003067l,1198872,1199178,306,RepeatMasker,DNA,1198907,1199165,259,0.85
ptg003117l,866149,866452,303,RepeatMasker,DNA,866039,866678,303,1.00
ptg003124l,5753721,5754049,328,RepeatMasker,DNA,5753682,5754712,328,1.00
ptg003126l,106930,107251,321,RepeatMasker,DNA,107191,107247,57,0.18
ptg003154l,1471950,1472277,327,RepeatMasker,DNA,1471907,1472343,327,1.00
ptg003158l,26824,27117,293,RepeatMasker,DNA,27083,27127,35,0.12
ptg003162l,2681871,2682166,295,RepeatMasker,DNA,2681599,2682146,275,0.93
ptg003162l,2681871,2682166,295,RepeatMasker,DNA,2681674,2682236,295,1.00
ptg003164l,1207979,1208263,284,RepeatMasker,DNA,1207885,1208217,238,0.84
ptg003171l,815733,816038,305,RepeatMasker,DNA,816013,816211,26,0.09
ptg003186l,1439715,1440040,325,RepeatMasker,DNA,1439638,1440687,325,1.00
ptg003195l,715867,716183,316,RepeatMasker,DNA,715968,716146,179,0.57
ptg003195l,796080,796338,258,RepeatMasker,DNA,796001,796181,101,0.39
ptg003204l,1580151,1580458,307,RepeatMasker,DNA,1580346,1580730,113,0.37
ptg003209l,286068,286386,318,RepeatMasker,DNA,286221,286416,166,0.52
ptg003211l,869769,870084,315,RepeatMasker,DNA,869937,870103,148,0.47
ptg003235l,839198,839493,295,RepeatMasker,DNA,839333,839532,161,0.55
ptg003241l,1312960,1313242,282,RepeatMasker,DNA,1313112,1313338,131,0.46
ptg003250l,172533,172815,282,RepeatMasker,DNA,172037,172625,92,0.33
ptg003253l,79970,80292,322,RepeatMasker,DNA,79932,80325,322,1.00
ptg003292l,664664,664910,246,RepeatMasker,DNA,664626,664765,101,0.41
ptg003292l,664664,664910,246,RepeatMasker,DNA,664779,665548,132,0.54
ptg003294l,224939,225256,317,RepeatMasker,DNA,225223,225334,34,0.11
ptg003294l,274931,275223,292,RepeatMasker,DNA,275194,275289,30,0.10
ptg003331l,373220,373541,321,RepeatMasker,DNA,373182,374064,321,1.00
ptg003347l,1387021,1387301,280,RepeatMasker,DNA,1387141,1387345,161,0.58
ptg003355l,2230239,2230566,327,RepeatMasker,DNA,2230402,2230593,165,0.50
ptg003382l,644691,644985,294,RepeatMasker,DNA,644434,644974,283,0.96
ptg003392l,609404,609686,282,RepeatMasker,DNA,609526,609726,161,0.57
ptg003405l,90245,90526,281,RepeatMasker,DNA,90361,90575,166,0.59
ptg003405l,860061,860349,288,RepeatMasker,DNA,860176,860366,174,0.60
ptg003432l,111975,112293,318,RepeatMasker,DNA,112266,112312,28,0.09
ptg003432l,753138,753454,316,RepeatMasker,DNA,753330,753490,125,0.40
ptg003474l,2128918,2129247,329,RepeatMasker,DNA,2129029,2129419,219,0.67
ptg003478l,1075964,1076290,326,RepeatMasker,DNA,1075910,1076967,326,1.00
ptg003491l,223798,224088,290,RepeatMasker,DNA,223928,224128,161,0.56
ptg003507l,1224197,1224510,313,RepeatMasker,DNA,1223757,1224480,283,0.90
ptg003526l,4086856,4087114,258,RepeatMasker,DNA,4086671,4086884,28,0.11
ptg003526l,4086856,4087114,258,RepeatMasker,DNA,4086754,4086926,70,0.27
ptg003548l,1682260,1682555,295,RepeatMasker,DNA,1682028,1682266,6,0.02
ptg003556l,595514,595808,294,RepeatMasker,DNA,595583,595716,134,0.46
ptg003601l,3933884,3934173,289,RepeatMasker,DNA,3933100,3933975,91,0.31
ptg003621l,502194,502499,305,RepeatMasker,DNA,500186,502472,278,0.91
ptg003621l,502194,502499,305,RepeatMasker,DNA,500473,502916,305,1.00
ptg003693l,1706495,1706759,264,RepeatMasker,DNA,1706667,1706809,93,0.35
ptg003700l,4331231,4331515,284,RepeatMasker,DNA,4331482,4331689,34,0.12
ptg003707l,1599894,1600180,286,RepeatMasker,DNA,1599276,1599984,90,0.31
ptg003719l,283530,283816,286,RepeatMasker,DNA,282886,283622,92,0.32
ptg003737l,2514474,2514774,300,RepeatMasker,DNA,2514252,2514899,300,1.00
ptg003822l,849109,849386,277,RepeatMasker,DNA,848888,849349,240,0.87
ptg003839l,8784002,8784314,312,RepeatMasker,DNA,8784292,8784338,23,0.07
ptg003866l,259642,259950,308,RepeatMasker,DNA,258892,259665,23,0.07
ptg003866l,259642,259950,308,RepeatMasker,DNA,259795,260673,156,0.51
ptg003875l,28466,28737,271,RepeatMasker,DNA,28387,28591,125,0.46
ptg003880l,549864,550159,295,RepeatMasker,DNA,549592,550139,275,0.93
ptg003880l,549864,550159,295,RepeatMasker,DNA,549667,550230,295,1.00
ptg003892l,1200459,1200740,281,RepeatMasker,DNA,1200581,1200790,160,0.57
ptg003894l,1905860,1906141,281,RepeatMasker,DNA,1905647,1906038,178,0.63
ptg003898l,2180751,2181036,285,RepeatMasker,DNA,2180977,2181032,56,0.20
ptg003899l,1530733,1531000,267,RepeatMasker,DNA,1530798,1531427,203,0.76
ptg003901l,2336638,2336953,315,RepeatMasker,DNA,2336860,2337175,94,0.30
ptg003903l,218772,219067,295,RepeatMasker,DNA,218500,219064,292,0.99
ptg003903l,218772,219067,295,RepeatMasker,DNA,218575,219138,295,1.00
ptg003919l,335028,335356,328,RepeatMasker,DNA,335270,335709,87,0.27
ptg003934l,2930827,2931117,290,RepeatMasker,DNA,2929969,2930928,101,0.35
ptg003943l,295226,295523,297,RepeatMasker,DNA,294995,295452,226,0.76
ptg003959l,1404332,1404621,289,RepeatMasker,DNA,1404258,1405276,289,1.00
ptg003990l,760095,760411,316,RepeatMasker,DNA,760057,760230,135,0.43
ptg003990l,760095,760411,316,RepeatMasker,DNA,760309,761034,103,0.33
ptg004015l,394729,395009,280,RepeatMasker,DNA,394502,394799,70,0.25
ptg004041l,3002929,3003218,289,RepeatMasker,DNA,3003015,3004314,204,0.71
ptg004051l,599331,599621,290,RepeatMasker,DNA,597157,599440,109,0.38
ptg004053l,104083,104345,262,RepeatMasker,DNA,104324,104518,22,0.08
ptg004060l,2808360,2808640,280,RepeatMasker,DNA,2808423,2808776,218,0.78
ptg004107l,4554505,4554797,292,RepeatMasker,DNA,4554737,4554793,57,0.20
ptg004124l,349428,349722,294,RepeatMasker,DNA,349188,349596,168,0.57
ptg004136l,1278689,1278978,289,RepeatMasker,DNA,1277530,1278780,91,0.31
ptg004142l,1943779,1944102,323,RepeatMasker,DNA,1944042,1944098,57,0.18
ptg004143l,97694,97974,280,RepeatMasker,DNA,97815,98013,160,0.57
ptg004165l,1162067,1162394,327,RepeatMasker,DNA,1162159,1162796,236,0.72
ptg004165l,1162067,1162394,327,RepeatMasker,DNA,1162236,1162796,159,0.49
ptg004168l,3012087,3012408,321,RepeatMasker,DNA,3012278,3012493,131,0.41
